date,isin,desig,book,accrued,funding,pullToPar,carry,brokerFeePnl,cashTradingPnl,cashDelta,newBiz,estPnl,source
2026-03-17,GBAJI0Y6DPB3,Anya,CRB_Anya_2,3779.98,-2570.45,-195.82,1013.71,1475.41,-2359.76,7864.04,-884.35,7993.4,TRANSFER
2026-03-17,FRSAHXTHV3A2,Emma,CRB_Emma_1,3211.39,-49.17,44.85,3207.07,1844.86,6566.26,6143.73,8411.12,17761.92,VOICE
2026-03-17,AUMF8MDD4V37,Taylor,CRB_Taylor_2,4792.85,-971.5,-50.85,3770.5,1277.05,4165.95,1891.3,5443.0,11104.8,RFQ_LT
2026-03-17,NLE7CKW5NGC3,James,CRB_James_1,3741.18,-1385.69,394.33,2749.82,121.13,7962.7,-1552.07,8083.83,9281.58,VOICE
2026-03-17,JP945NQ4FMY1,Taylor,CRB_Taylor_2,4067.77,-2898.3,447.45,1616.92,-1463.65,-1973.86,-6896.32,-3437.51,-8716.91,VOICE
2026-03-17,SEWTIQJ7YHL0,Emma,CRB_Emma_1,4087.12,-969.12,-72.6,3045.4,-1676.82,-454.77,11100.42,-2131.59,12014.23,RFQ_ST
2026-03-17,FR32OC6UZHR7,Emma,CRB_Emma_1,4337.68,-2042.36,483.95,2779.27,-843.5,8905.28,-11736.84,8061.78,-895.79,PT
2026-03-17,DEJIUJV6OH98,Alexander,CRB_Alexander_2,290.97,-1158.52,-186.1,-1053.65,452.52,-84.34,-9012.03,368.18,-9697.5,TRANSFER
2026-03-17,CHDBDW2PCN98,Anya,CRB_Anya_1,4535.18,-2938.6,-200.85,1395.73,282.16,2392.13,-5262.89,2674.29,-1192.87,RFQ_LT
2026-03-17,JP84AZYTJXE6,Andy,CRB_Andy_1,1462.7,-2458.13,324.16,-671.27,-433.23,-5851.26,11460.23,-6284.49,4504.47,TRANSFER
2026-03-17,DEQ85JSG65K8,Taylor,CRB_Taylor_1,3933.18,-363.74,57.08,3626.52,1950.66,-1794.57,12058.92,156.09,15841.53,UNTAGGED
2026-03-17,SEHNF877VRE5,James,CRB_James_3,4811.2,-1202.52,7.67,3616.35,506.99,3878.48,-7666.31,4385.47,335.51,TRANSFER
2026-03-17,JPIIUC039TE7,Taylor,CRB_Taylor_3,4983.11,-808.64,434.52,4608.99,1432.24,-6165.8,-14126.59,-4733.56,-14251.16,SWEEP
2026-03-17,NLFSV871YZO5,Alexander,CRB_Alexander_1,1348.75,-602.33,448.22,1194.64,-1032.92,-2793.97,-14783.81,-3826.89,-17416.06,BROKER
